code,region,principales_indicadores,periodo,total
00,Total Nacional,Volumen de agua disponible potabilizada,2022,269
00,Total Nacional,Volumen de agua disponible potabilizada,2020,268
00,Total Nacional,Volumen de agua disponible potabilizada,2018,280
00,Total Nacional,Volumen de agua disponible potabilizada,2016,308
00,Total Nacional,Volumen de agua disponible potabilizada,2014,287
00,Total Nacional,Volumen de agua disponible potabilizada,2013,291
00,Total Nacional,Volumen de agua disponible potabilizada,2012,287
00,Total Nacional,Volumen de agua disponible potabilizada,2011,290
00,Total Nacional,Volumen de agua disponible potabilizada,2010,291
00,Total Nacional,Volumen de agua disponible potabilizada,2009,299
00,Total Nacional,Volumen de agua disponible potabilizada,2008,317
00,Total Nacional,Volumen de agua disponible potabilizada,2007,333
00,Total Nacional,Volumen de agua disponible potabilizada,2006,352
00,Total Nacional,Volumen de agua disponible potabilizada,2005,376
00,Total Nacional,Volumen de agua disponible potabilizada,2004,389
00,Total Nacional,Volumen de agua disponible potabilizada,2003,392
00,Total Nacional,Volumen de agua disponible potabilizada,2002,373
00,Total Nacional,Volumen de agua disponible potabilizada,2001,375
00,Total Nacional,Volumen de agua disponible potabilizada,2000,352
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2022,244
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2020,246
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2018,248
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2016,253
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2014,252
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2013,254
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2012,263
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2011,265
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2010,270
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2009,278
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2008,294
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2007,301
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2006,290
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2005,306
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2004,318
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2003,321
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2002,316
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2001,323
00,Total Nacional,Volumen de agua suministrada a la red de abastecimiento público,2000,323
00,Total Nacional,Volumen total de agua registrada y distribuida,2022,181
00,Total Nacional,Volumen total de agua registrada y distribuida,2020,184
00,Total Nacional,Volumen total de agua registrada y distribuida,2018,187
00,Total Nacional,Volumen total de agua registrada y distribuida,2016,189
00,Total Nacional,Volumen total de agua registrada y distribuida,2014,190
00,Total Nacional,Volumen total de agua registrada y distribuida,2013,189
00,Total Nacional,Volumen total de agua registrada y distribuida,2012,196
00,Total Nacional,Volumen total de agua registrada y distribuida,2011,198
00,Total Nacional,Volumen total de agua registrada y distribuida,2010,200
00,Total Nacional,Volumen total de agua registrada y distribuida,2009,207
00,Total Nacional,Volumen total de agua registrada y distribuida,2008,222
00,Total Nacional,Volumen total de agua registrada y distribuida,2007,229
00,Total Nacional,Volumen total de agua registrada y distribuida,2006,242
00,Total Nacional,Volumen total de agua registrada y distribuida,2005,251
00,Total Nacional,Volumen total de agua registrada y distribuida,2004,258
00,Total Nacional,Volumen total de agua registrada y distribuida,2003,261
00,Total Nacional,Volumen total de agua registrada y distribuida,2002,255
00,Total Nacional,Volumen total de agua registrada y distribuida,2001,260
00,Total Nacional,Volumen total de agua registrada y distribuida,2000,255
00,Total Nacional,Volumen de agua registrada y distribuida a los Hogares,2022,128
00,Total Nacional,Volumen de agua registrada y distribuida a los Hogares,2020,133
00,Total Nacional,Volumen de agua registrada y distribuida a los Hogares,2018,133
00,Total Nacional,Volumen de agua registrada y distribuida a los Hogares,2016,136
00,Total Nacional,Volumen de agua registrada y distribuida a los Hogares,2014,132
00,Total Nacional,Volumen de agua registrada y distribuida a los Hogares,2013,130
00,Total Nacional,Volumen de agua registrada y distribuida a los Hogares,2012,135
00,Total Nacional,Volumen de agua registrada y distribuida a los Hogares,2011,140
00,Total Nacional,Volumen de agua registrada y distribuida a los Hogares,2010,142
00,Total Nacional,Volumen de agua registrada y distribuida a los Hogares,2009,147
00,Total Nacional,Volumen de agua registrada y distribuida a los Hogares,2008,151
00,Total Nacional,Volumen de agua registrada y distribuida a los Hogares,2007,154
00,Total Nacional,Volumen de agua registrada y distribuida a los Hogares,2006,162
00,Total Nacional,Volumen de agua registrada y distribuida a los Hogares,2005,168
00,Total Nacional,Volumen de agua registrada y distribuida a los Hogares,2004,173
00,Total Nacional,Volumen de agua registrada y distribuida a los Hogares,2003,169
00,Total Nacional,Volumen de agua registrada y distribuida a los Hogares,2002,166
00,Total Nacional,Volumen de agua registrada y distribuida a los Hogares,2001,165
00,Total Nacional,Volumen de agua registrada y distribuida a los Hogares,2000,168
00,Total Nacional,Volumen de agua no registrada,2022,63
00,Total Nacional,Volumen de agua no registrada,2020,62
00,Total Nacional,Volumen de agua no registrada,2018,61
00,Total Nacional,Volumen de agua no registrada,2016,64
00,Total Nacional,Volumen de agua no registrada,2014,62
00,Total Nacional,Volumen de agua no registrada,2013,65
00,Total Nacional,Volumen de agua no registrada,2012,67
00,Total Nacional,Volumen de agua no registrada,2011,67
00,Total Nacional,Volumen de agua no registrada,2010,70
00,Total Nacional,Volumen de agua no registrada,2009,71
00,Total Nacional,Volumen de agua no registrada,2008,72
00,Total Nacional,Volumen de agua no registrada,2007,72
00,Total Nacional,Volumen de agua no registrada,2006,..
00,Total Nacional,Volumen de agua no registrada,2005,..
00,Total Nacional,Volumen de agua no registrada,2004,..
00,Total Nacional,Volumen de agua no registrada,2003,..
00,Total Nacional,Volumen de agua no registrada,2002,..
00,Total Nacional,Volumen de agua no registrada,2001,..
00,Total Nacional,Volumen de agua no registrada,2000,..
00,Total Nacional,Pérdidas reales,2022,40
00,Total Nacional,Pérdidas reales,2020,38
00,Total Nacional,Pérdidas reales,2018,38
00,Total Nacional,Pérdidas reales,2016,41
00,Total Nacional,Pérdidas reales,2014,38
00,Total Nacional,Pérdidas reales,2013,40
00,Total Nacional,Pérdidas reales,2012,42
00,Total Nacional,Pérdidas reales,2011,46
00,Total Nacional,Pérdidas reales,2010,47
00,Total Nacional,Pérdidas reales,2009,47
00,Total Nacional,Pérdidas reales,2008,49
00,Total Nacional,Pérdidas reales,2007,48
00,Total Nacional,Pérdidas reales,2006,48
00,Total Nacional,Pérdidas reales,2005,55
00,Total Nacional,Pérdidas reales,2004,60
00,Total Nacional,Pérdidas reales,2003,60
00,Total Nacional,Pérdidas reales,2002,61
00,Total Nacional,Pérdidas reales,2001,63
00,Total Nacional,Pérdidas reales,2000,68
00,Total Nacional,Pérdidas aparentes,2022,23
00,Total Nacional,Pérdidas aparentes,2020,24
00,Total Nacional,Pérdidas aparentes,2018,23
00,Total Nacional,Pérdidas aparentes,2016,23
00,Total Nacional,Pérdidas aparentes,2014,24
00,Total Nacional,Pérdidas aparentes,2013,25
00,Total Nacional,Pérdidas aparentes,2012,25
00,Total Nacional,Pérdidas aparentes,2011,21
00,Total Nacional,Pérdidas aparentes,2010,23
00,Total Nacional,Pérdidas aparentes,2009,24
00,Total Nacional,Pérdidas aparentes,2008,23
00,Total Nacional,Pérdidas aparentes,2007,24
00,Total Nacional,Pérdidas aparentes,2006,..
00,Total Nacional,Pérdidas aparentes,2005,..
00,Total Nacional,Pérdidas aparentes,2004,..
00,Total Nacional,Pérdidas aparentes,2003,..
00,Total Nacional,Pérdidas aparentes,2002,..
00,Total Nacional,Pérdidas aparentes,2001,..
00,Total Nacional,Pérdidas aparentes,2000,..
00,Total Nacional,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2022,"16,3"
00,Total Nacional,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2020,"15,4"
00,Total Nacional,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2018,"15,4"
00,Total Nacional,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2016,"16,3"
00,Total Nacional,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2014,"15,2"
00,Total Nacional,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2013,"15,7"
00,Total Nacional,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2012,"15,9"
00,Total Nacional,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2011,"17,2"
00,Total Nacional,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2010,"17,5"
00,Total Nacional,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2009,"16,8"
00,Total Nacional,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2008,"16,6"
00,Total Nacional,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2007,"15,9"
00,Total Nacional,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2006,"16,7"
00,Total Nacional,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2005,"17,9"
00,Total Nacional,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2004,"18,7"
00,Total Nacional,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2003,"18,7"
00,Total Nacional,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2002,"19,4"
00,Total Nacional,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2001,"19,4"
00,Total Nacional,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2000,"20,9"
01,Andalucía,Volumen de agua disponible potabilizada,2022,279
01,Andalucía,Volumen de agua disponible potabilizada,2020,276
01,Andalucía,Volumen de agua disponible potabilizada,2018,293
01,Andalucía,Volumen de agua disponible potabilizada,2016,295
01,Andalucía,Volumen de agua disponible potabilizada,2014,282
01,Andalucía,Volumen de agua disponible potabilizada,2013,268
01,Andalucía,Volumen de agua disponible potabilizada,2012,283
01,Andalucía,Volumen de agua disponible potabilizada,2011,291
01,Andalucía,Volumen de agua disponible potabilizada,2010,296
01,Andalucía,Volumen de agua disponible potabilizada,2009,310
01,Andalucía,Volumen de agua disponible potabilizada,2008,311
01,Andalucía,Volumen de agua disponible potabilizada,2007,323
01,Andalucía,Volumen de agua disponible potabilizada,2006,392
01,Andalucía,Volumen de agua disponible potabilizada,2005,448
01,Andalucía,Volumen de agua disponible potabilizada,2004,465
01,Andalucía,Volumen de agua disponible potabilizada,2003,439
01,Andalucía,Volumen de agua disponible potabilizada,2002,387
01,Andalucía,Volumen de agua disponible potabilizada,2001,391
01,Andalucía,Volumen de agua disponible potabilizada,2000,345
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2022,261
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2020,256
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2018,243
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2016,247
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2014,253
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2013,248
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2012,259
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2011,260
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2010,265
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2009,288
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2008,289
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2007,299
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2006,315
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2005,359
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2004,351
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2003,340
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2002,324
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2001,320
01,Andalucía,Volumen de agua suministrada a la red de abastecimiento público,2000,308
01,Andalucía,Volumen total de agua registrada y distribuida,2022,194
01,Andalucía,Volumen total de agua registrada y distribuida,2020,185
01,Andalucía,Volumen total de agua registrada y distribuida,2018,177
01,Andalucía,Volumen total de agua registrada y distribuida,2016,176
01,Andalucía,Volumen total de agua registrada y distribuida,2014,182
01,Andalucía,Volumen total de agua registrada y distribuida,2013,179
01,Andalucía,Volumen total de agua registrada y distribuida,2012,188
01,Andalucía,Volumen total de agua registrada y distribuida,2011,190
01,Andalucía,Volumen total de agua registrada y distribuida,2010,193
01,Andalucía,Volumen total de agua registrada y distribuida,2009,211
01,Andalucía,Volumen total de agua registrada y distribuida,2008,223
01,Andalucía,Volumen total de agua registrada y distribuida,2007,229
01,Andalucía,Volumen total de agua registrada y distribuida,2006,265
01,Andalucía,Volumen total de agua registrada y distribuida,2005,295
01,Andalucía,Volumen total de agua registrada y distribuida,2004,281
01,Andalucía,Volumen total de agua registrada y distribuida,2003,268
01,Andalucía,Volumen total de agua registrada y distribuida,2002,259
01,Andalucía,Volumen total de agua registrada y distribuida,2001,259
01,Andalucía,Volumen total de agua registrada y distribuida,2000,250
01,Andalucía,Volumen de agua registrada y distribuida a los Hogares,2022,140
01,Andalucía,Volumen de agua registrada y distribuida a los Hogares,2020,138
01,Andalucía,Volumen de agua registrada y distribuida a los Hogares,2018,128
01,Andalucía,Volumen de agua registrada y distribuida a los Hogares,2016,129
01,Andalucía,Volumen de agua registrada y distribuida a los Hogares,2014,126
01,Andalucía,Volumen de agua registrada y distribuida a los Hogares,2013,120
01,Andalucía,Volumen de agua registrada y distribuida a los Hogares,2012,127
01,Andalucía,Volumen de agua registrada y distribuida a los Hogares,2011,139
01,Andalucía,Volumen de agua registrada y distribuida a los Hogares,2010,142
01,Andalucía,Volumen de agua registrada y distribuida a los Hogares,2009,154
01,Andalucía,Volumen de agua registrada y distribuida a los Hogares,2008,154
01,Andalucía,Volumen de agua registrada y distribuida a los Hogares,2007,156
01,Andalucía,Volumen de agua registrada y distribuida a los Hogares,2006,178
01,Andalucía,Volumen de agua registrada y distribuida a los Hogares,2005,196
01,Andalucía,Volumen de agua registrada y distribuida a los Hogares,2004,190
01,Andalucía,Volumen de agua registrada y distribuida a los Hogares,2003,185
01,Andalucía,Volumen de agua registrada y distribuida a los Hogares,2002,185
01,Andalucía,Volumen de agua registrada y distribuida a los Hogares,2001,182
01,Andalucía,Volumen de agua registrada y distribuida a los Hogares,2000,184
01,Andalucía,Volumen de agua no registrada,2022,67
01,Andalucía,Volumen de agua no registrada,2020,71
01,Andalucía,Volumen de agua no registrada,2018,66
01,Andalucía,Volumen de agua no registrada,2016,71
01,Andalucía,Volumen de agua no registrada,2014,71
01,Andalucía,Volumen de agua no registrada,2013,69
01,Andalucía,Volumen de agua no registrada,2012,71
01,Andalucía,Volumen de agua no registrada,2011,70
01,Andalucía,Volumen de agua no registrada,2010,72
01,Andalucía,Volumen de agua no registrada,2009,77
01,Andalucía,Volumen de agua no registrada,2008,66
01,Andalucía,Volumen de agua no registrada,2007,70
01,Andalucía,Volumen de agua no registrada,2006,..
01,Andalucía,Volumen de agua no registrada,2005,..
01,Andalucía,Volumen de agua no registrada,2004,..
01,Andalucía,Volumen de agua no registrada,2003,..
01,Andalucía,Volumen de agua no registrada,2002,..
01,Andalucía,Volumen de agua no registrada,2001,..
01,Andalucía,Volumen de agua no registrada,2000,..
01,Andalucía,Pérdidas reales,2022,44
01,Andalucía,Pérdidas reales,2020,42
01,Andalucía,Pérdidas reales,2018,40
01,Andalucía,Pérdidas reales,2016,50
01,Andalucía,Pérdidas reales,2014,50
01,Andalucía,Pérdidas reales,2013,46
01,Andalucía,Pérdidas reales,2012,41
01,Andalucía,Pérdidas reales,2011,47
01,Andalucía,Pérdidas reales,2010,45
01,Andalucía,Pérdidas reales,2009,49
01,Andalucía,Pérdidas reales,2008,45
01,Andalucía,Pérdidas reales,2007,43
01,Andalucía,Pérdidas reales,2006,51
01,Andalucía,Pérdidas reales,2005,64
01,Andalucía,Pérdidas reales,2004,70
01,Andalucía,Pérdidas reales,2003,72
01,Andalucía,Pérdidas reales,2002,65
01,Andalucía,Pérdidas reales,2001,61
01,Andalucía,Pérdidas reales,2000,58
01,Andalucía,Pérdidas aparentes,2022,23
01,Andalucía,Pérdidas aparentes,2020,29
01,Andalucía,Pérdidas aparentes,2018,26
01,Andalucía,Pérdidas aparentes,2016,21
01,Andalucía,Pérdidas aparentes,2014,21
01,Andalucía,Pérdidas aparentes,2013,23
01,Andalucía,Pérdidas aparentes,2012,30
01,Andalucía,Pérdidas aparentes,2011,23
01,Andalucía,Pérdidas aparentes,2010,27
01,Andalucía,Pérdidas aparentes,2009,28
01,Andalucía,Pérdidas aparentes,2008,21
01,Andalucía,Pérdidas aparentes,2007,27
01,Andalucía,Pérdidas aparentes,2006,..
01,Andalucía,Pérdidas aparentes,2005,..
01,Andalucía,Pérdidas aparentes,2004,..
01,Andalucía,Pérdidas aparentes,2003,..
01,Andalucía,Pérdidas aparentes,2002,..
01,Andalucía,Pérdidas aparentes,2001,..
01,Andalucía,Pérdidas aparentes,2000,..
01,Andalucía,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2022,"17,0"
01,Andalucía,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2020,"16,3"
01,Andalucía,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2018,"16,6"
01,Andalucía,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2016,"20,8"
01,Andalucía,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2014,"19,6"
01,Andalucía,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2013,"18,7"
01,Andalucía,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2012,"15,8"
01,Andalucía,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2011,"18,2"
01,Andalucía,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2010,"17,0"
01,Andalucía,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2009,"16,9"
01,Andalucía,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2008,"15,7"
01,Andalucía,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2007,"14,5"
01,Andalucía,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2006,"16,1"
01,Andalucía,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2005,"17,8"
01,Andalucía,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2004,"20,0"
01,Andalucía,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2003,"21,2"
01,Andalucía,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2002,"20,0"
01,Andalucía,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2001,"19,0"
01,Andalucía,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2000,"18,7"
02,Aragón,Volumen de agua disponible potabilizada,2022,492
02,Aragón,Volumen de agua disponible potabilizada,2020,315
02,Aragón,Volumen de agua disponible potabilizada,2018,314
02,Aragón,Volumen de agua disponible potabilizada,2016,381
02,Aragón,Volumen de agua disponible potabilizada,2014,332
02,Aragón,Volumen de agua disponible potabilizada,2013,328
02,Aragón,Volumen de agua disponible potabilizada,2012,391
02,Aragón,Volumen de agua disponible potabilizada,2011,339
02,Aragón,Volumen de agua disponible potabilizada,2010,348
02,Aragón,Volumen de agua disponible potabilizada,2009,362
02,Aragón,Volumen de agua disponible potabilizada,2008,356
02,Aragón,Volumen de agua disponible potabilizada,2007,340
02,Aragón,Volumen de agua disponible potabilizada,2006,341
02,Aragón,Volumen de agua disponible potabilizada,2005,494
02,Aragón,Volumen de agua disponible potabilizada,2004,466
02,Aragón,Volumen de agua disponible potabilizada,2003,479
02,Aragón,Volumen de agua disponible potabilizada,2002,420
02,Aragón,Volumen de agua disponible potabilizada,2001,426
02,Aragón,Volumen de agua disponible potabilizada,2000,425
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2022,270
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2020,296
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2018,289
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2016,280
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2014,281
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2013,289
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2012,304
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2011,278
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2010,314
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2009,327
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2008,339
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2007,321
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2006,297
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2005,330
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2004,321
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2003,365
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2002,361
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2001,365
02,Aragón,Volumen de agua suministrada a la red de abastecimiento público,2000,392
02,Aragón,Volumen total de agua registrada y distribuida,2022,191
02,Aragón,Volumen total de agua registrada y distribuida,2020,201
02,Aragón,Volumen total de agua registrada y distribuida,2018,212
02,Aragón,Volumen total de agua registrada y distribuida,2016,214
02,Aragón,Volumen total de agua registrada y distribuida,2014,200
02,Aragón,Volumen total de agua registrada y distribuida,2013,196
02,Aragón,Volumen total de agua registrada y distribuida,2012,217
02,Aragón,Volumen total de agua registrada y distribuida,2011,199
02,Aragón,Volumen total de agua registrada y distribuida,2010,213
02,Aragón,Volumen total de agua registrada y distribuida,2009,221
02,Aragón,Volumen total de agua registrada y distribuida,2008,232
02,Aragón,Volumen total de agua registrada y distribuida,2007,213
02,Aragón,Volumen total de agua registrada y distribuida,2006,239
02,Aragón,Volumen total de agua registrada y distribuida,2005,251
02,Aragón,Volumen total de agua registrada y distribuida,2004,251
02,Aragón,Volumen total de agua registrada y distribuida,2003,279
02,Aragón,Volumen total de agua registrada y distribuida,2002,261
02,Aragón,Volumen total de agua registrada y distribuida,2001,248
02,Aragón,Volumen total de agua registrada y distribuida,2000,252
02,Aragón,Volumen de agua registrada y distribuida a los Hogares,2022,110
02,Aragón,Volumen de agua registrada y distribuida a los Hogares,2020,134
02,Aragón,Volumen de agua registrada y distribuida a los Hogares,2018,129
02,Aragón,Volumen de agua registrada y distribuida a los Hogares,2016,137
02,Aragón,Volumen de agua registrada y distribuida a los Hogares,2014,130
02,Aragón,Volumen de agua registrada y distribuida a los Hogares,2013,129
02,Aragón,Volumen de agua registrada y distribuida a los Hogares,2012,135
02,Aragón,Volumen de agua registrada y distribuida a los Hogares,2011,129
02,Aragón,Volumen de agua registrada y distribuida a los Hogares,2010,141
02,Aragón,Volumen de agua registrada y distribuida a los Hogares,2009,145
02,Aragón,Volumen de agua registrada y distribuida a los Hogares,2008,146
02,Aragón,Volumen de agua registrada y distribuida a los Hogares,2007,139
02,Aragón,Volumen de agua registrada y distribuida a los Hogares,2006,149
02,Aragón,Volumen de agua registrada y distribuida a los Hogares,2005,154
02,Aragón,Volumen de agua registrada y distribuida a los Hogares,2004,163
02,Aragón,Volumen de agua registrada y distribuida a los Hogares,2003,168
02,Aragón,Volumen de agua registrada y distribuida a los Hogares,2002,170
02,Aragón,Volumen de agua registrada y distribuida a los Hogares,2001,174
02,Aragón,Volumen de agua registrada y distribuida a los Hogares,2000,174
02,Aragón,Volumen de agua no registrada,2022,79
02,Aragón,Volumen de agua no registrada,2020,95
02,Aragón,Volumen de agua no registrada,2018,77
02,Aragón,Volumen de agua no registrada,2016,66
02,Aragón,Volumen de agua no registrada,2014,81
02,Aragón,Volumen de agua no registrada,2013,93
02,Aragón,Volumen de agua no registrada,2012,87
02,Aragón,Volumen de agua no registrada,2011,79
02,Aragón,Volumen de agua no registrada,2010,101
02,Aragón,Volumen de agua no registrada,2009,106
02,Aragón,Volumen de agua no registrada,2008,107
02,Aragón,Volumen de agua no registrada,2007,108
02,Aragón,Volumen de agua no registrada,2006,..
02,Aragón,Volumen de agua no registrada,2005,..
02,Aragón,Volumen de agua no registrada,2004,..
02,Aragón,Volumen de agua no registrada,2003,..
02,Aragón,Volumen de agua no registrada,2002,..
02,Aragón,Volumen de agua no registrada,2001,..
02,Aragón,Volumen de agua no registrada,2000,..
02,Aragón,Pérdidas reales,2022,67
02,Aragón,Pérdidas reales,2020,63
02,Aragón,Pérdidas reales,2018,53
02,Aragón,Pérdidas reales,2016,47
02,Aragón,Pérdidas reales,2014,56
02,Aragón,Pérdidas reales,2013,58
02,Aragón,Pérdidas reales,2012,53
02,Aragón,Pérdidas reales,2011,56
02,Aragón,Pérdidas reales,2010,77
02,Aragón,Pérdidas reales,2009,75
02,Aragón,Pérdidas reales,2008,70
02,Aragón,Pérdidas reales,2007,69
02,Aragón,Pérdidas reales,2006,58
02,Aragón,Pérdidas reales,2005,80
02,Aragón,Pérdidas reales,2004,70
02,Aragón,Pérdidas reales,2003,86
02,Aragón,Pérdidas reales,2002,100
02,Aragón,Pérdidas reales,2001,116
02,Aragón,Pérdidas reales,2000,140
02,Aragón,Pérdidas aparentes,2022,13
02,Aragón,Pérdidas aparentes,2020,32
02,Aragón,Pérdidas aparentes,2018,24
02,Aragón,Pérdidas aparentes,2016,19
02,Aragón,Pérdidas aparentes,2014,25
02,Aragón,Pérdidas aparentes,2013,35
02,Aragón,Pérdidas aparentes,2012,34
02,Aragón,Pérdidas aparentes,2011,23
02,Aragón,Pérdidas aparentes,2010,24
02,Aragón,Pérdidas aparentes,2009,31
02,Aragón,Pérdidas aparentes,2008,37
02,Aragón,Pérdidas aparentes,2007,39
02,Aragón,Pérdidas aparentes,2006,..
02,Aragón,Pérdidas aparentes,2005,..
02,Aragón,Pérdidas aparentes,2004,..
02,Aragón,Pérdidas aparentes,2003,..
02,Aragón,Pérdidas aparentes,2002,..
02,Aragón,Pérdidas aparentes,2001,..
02,Aragón,Pérdidas aparentes,2000,..
02,Aragón,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2022,"24,6"
02,Aragón,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2020,"21,1"
02,Aragón,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2018,"18,3"
02,Aragón,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2016,"16,7"
02,Aragón,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2014,"19,9"
02,Aragón,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2013,"20,1"
02,Aragón,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2012,"17,5"
02,Aragón,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2011,"20,2"
02,Aragón,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2010,"24,5"
02,Aragón,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2009,"23,0"
02,Aragón,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2008,"20,7"
02,Aragón,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2007,"21,5"
02,Aragón,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2006,"19,5"
02,Aragón,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2005,"24,1"
02,Aragón,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2004,"21,9"
02,Aragón,Porcentaje de pérdidas reales sobre el volumen de agua suministrada,2003,"23,5"
